Date;Service;Ligne;Nom de la ligne;Taux de ponctualité;Nombre de voyageurs à l'heure pour un voyageur en retard
2013-06;RER;B;RER B;82.2;4.6
2013-06;Transilien;U;La Verrière - La Défense;93.2;13.7
2013-07;Transilien;J;Paris Saint-Lazare Nord;87.0;6.7
2013-07;Transilien;P;Paris Est;90.1;9.1
2013-07;Transilien;U;La Verrière - La Défense;94.3;16.5
2013-08;RER;B;RER B;89.9;8.9
2013-08;Transilien;H;Paris Nord Ouest;95.4;20.7
2013-08;Transilien;J;Paris Saint-Lazare Nord;89.2;8.3
2013-08;Transilien;K;Paris Nord Crépy;88.3;7.5
2013-08;Transilien;R;Paris Sud Est;92.0;11.5
2013-09;Transilien;J;Paris Saint-Lazare Nord;88.8;7.9
2013-09;Transilien;L;Paris Saint-Lazare Sud;84.9;5.6
2013-09;Transilien;N;Paris Montparnasse;92.7;12.7
2013-09;Transilien;R;Paris Sud Est;89.6;8.6
2013-10;RER;E;RER E;95.2;19.8
2013-10;Transilien;H;Paris Nord Ouest;94.2;16.2
2013-11;RER;E;RER E;92.0;11.5
2013-11;Transilien;H;Paris Nord Ouest;93.1;13.5
2013-12;RER;E;RER E;94.9;18.6
2014-01;RER;D;RER D;86.0;6.1
2014-01;RER;E;RER E;93.6;14.6
2014-01;Transilien;N;Paris Montparnasse;96.1;24.6
2014-01;Transilien;U;La Verrière - La Défense;93.2;13.7
2014-02;RER;C;RER C;90.8;9.9
2014-02;RER;D;RER D;88.2;7.5
2014-02;Transilien;R;Paris Sud Est;85.3;5.8
2014-03;RER;B;RER B;87.9;7.3
2014-03;Transilien;H;Paris Nord Ouest;96.4;26.8
2014-03;Transilien;J;Paris Saint-Lazare Nord;87.1;6.8
2014-03;Transilien;P;Paris Est;88.8;7.9
2014-04;RER;A;RER A;85.7;6.0
2014-04;RER;E;RER E;93.9;15.4
2014-04;Transilien;U;La Verrière - La Défense;94.5;17.2
2014-05;RER;D;RER D;85.9;6.1
2014-05;Transilien;N;Paris Montparnasse;96.1;24.6
2014-05;Transilien;R;Paris Sud Est;89.7;8.7
2014-05;Transilien;U;La Verrière - La Défense;94.0;15.7
2014-06;RER;E;RER E;95.4;20.7
2014-06;Transilien;H;Paris Nord Ouest;93.9;15.4
2014-06;Transilien;J;Paris Saint-Lazare Nord;84.9;5.6
2014-06;Transilien;L;Paris Saint-Lazare Sud;84.0;5.3
2014-06;Transilien;P;Paris Est;89.4;8.4
2014-06;Transilien;R;Paris Sud Est;86.1;6.2
2014-08;Transilien;H;Paris Nord Ouest;95.5;21.2
2014-08;Transilien;U;La Verrière - La Défense;95.4;20.7
2014-09;RER;D;RER D;87.0;6.7
2014-09;Transilien;K;Paris Nord Crépy;92.1;11.7
2014-09;Transilien;N;Paris Montparnasse;91.6;10.9
2014-09;Transilien;P;Paris Est;93.5;14.4
2014-09;Transilien;U;La Verrière - La Défense;95.9;23.4
2014-10;RER;A;RER A;68.8;2.2
2014-10;Transilien;J;Paris Saint-Lazare Nord;83.4;5.0
2014-11;Transilien;J;Paris Saint-Lazare Nord;85.776;6.0
2014-11;Transilien;N;Paris Montparnasse;91.45;10.7
2014-12;RER;B;RER B;84.6;5.5
2014-12;Transilien;K;Paris Nord Crépy;83.6;5.1
2015-01;RER;A;RER A;74.5;2.9
2015-01;RER;D;RER D;86.563;6.4
2015-01;RER;E;RER E;94.905;18.6
2015-01;Transilien;N;Paris Montparnasse;93.886;15.4
2015-01;Transilien;P;Paris Est;90.949;10.0
2015-02;RER;A;RER A;73.095;2.7
2015-02;RER;B;RER B;85.397;5.8
2015-02;Transilien;R;Paris Sud Est;91.222;10.4
2015-04;Transilien;K;Paris Nord Crépy;86.185;6.2
2015-04;Transilien;L;Paris Saint-Lazare Sud;81.752;4.5
2015-04;Transilien;P;Paris Est;87.956;7.3
2015-05;RER;D;RER D;86.377;6.3
2015-05;Transilien;N;Paris Montparnasse;93.781;15.1
2015-05;Transilien;R;Paris Sud Est;85.632;6.0
2015-05;Transilien;U;La Verrière - La Défense;94.944;18.8
2015-06;RER;A;RER A;71.15;2.5
2015-06;RER;B;RER B;84.971;5.7
2015-06;RER;D;RER D;82.81;4.8
2015-06;Transilien;R;Paris Sud Est;85.187;5.8
2015-07;RER;C;RER C;88.3;7.5
2015-07;Transilien;H;Paris Nord Ouest;92.8;12.9
2015-07;Transilien;J;Paris Saint-Lazare Nord;86.9;6.6
2015-07;Transilien;L;Paris Saint-Lazare Sud;78.5;3.7
2015-07;Transilien;N;Paris Montparnasse;90.6;9.6
2015-08;RER;D;RER D;91.5;10.8
2015-09;RER;A;RER A;69.995;2.3
2015-09;RER;D;RER D;87.083;6.7
2015-09;Transilien;P;Paris Est;86.054;6.2
2015-10;RER;C;RER C;88.034;7.4
2015-11;RER;C;RER C;85.8;6.0
2015-11;RER;D;RER D;81.6;4.4
2015-11;Transilien;L;Paris Saint-Lazare Sud;80.6;4.2
2015-11;Transilien;P;Paris Est;87.9;7.3
2015-11;Transilien;R;Paris Sud Est;82.2;4.6
2015-11;Transilien;U;La Verrière - La Défense;90.5;9.5
2015-12;RER;E;RER E;95.5;21.2
2015-12;Transilien;J;Paris Saint-Lazare Nord;89.7;8.7
2016-01;RER;D;RER D;81.4;4.4
2016-01;Transilien;K;Paris Nord Crépy;81.5;4.4
2016-01;Transilien;U;La Verrière - La Défense;94.1;15.9
2016-02;RER;A;RER A;71.7;2.5
2016-02;RER;E;RER E;93.1;13.5
2016-03;RER;A;RER A;72.2;2.6
2016-03;Transilien;H;Paris Nord Ouest;92.7;12.7
2016-03;Transilien;L;Paris Saint-Lazare Sud;89.9;8.9
2016-03;Transilien;N;Paris Montparnasse;93.2;13.7
2016-04;RER;A;RER A;72.6;2.6
2016-04;RER;C;RER C;90.6;9.6
2016-04;Transilien;K;Paris Nord Crépy;89.8;8.8
2016-04;Transilien;P;Paris Est;89.4;8.4
2016-05;RER;C;RER C;88.6;7.8
2016-05;Transilien;J;Paris Saint-Lazare Nord;87.7;7.1
2016-06;RER;A;RER A;70.7;2.4
2016-07;RER;C;RER C;86.4;6.4
2016-07;Transilien;H;Paris Nord Ouest;91.8;11.2
2016-07;Transilien;P;Paris Est;86.4;6.4
2016-08;RER;B;RER B;93.19;13.7
2016-08;RER;C;RER C;90.3;9.3
2016-08;RER;D;RER D;89.8;8.8
2016-08;Transilien;K;Paris Nord Crépy;89.4;8.4
2016-09;Transilien;K;Paris Nord Crépy;96.3;26.0
2016-09;Transilien;N;Paris Montparnasse;90.8;9.9
2016-10;Transilien;K;Paris Nord Crépy;95.4;20.7
2016-11;Transilien;K;Paris Nord Crépy;96.1;24.6
2016-12;RER;B;RER B;81.7;4.5
2016-12;RER;D;RER D;80.8;4.2
2016-12;Transilien;J;Paris Saint-Lazare Nord;88.5;7.7
2016-12;Transilien;N;Paris Montparnasse;90.1;9.1
2017-01;Transilien;U;La Verrière - La Défense;95.2;19.8
2017-03;RER;A;RER A;71.0;2.4
2017-03;Transilien;K;Paris Nord Crépy;92.9;13.1
2017-03;Transilien;L;Paris Saint-Lazare Sud;90.1;9.1
2017-03;Transilien;U;La Verrière - La Défense;94.8;18.2
2017-04;RER;A;RER A;73.9;2.8
2017-04;RER;E;RER E;93.5;14.4
2017-04;Transilien;J;Paris Saint-Lazare Nord;92.4;12.2
2017-04;Transilien;L;Paris Saint-Lazare Sud;92.3;12.0
2017-04;Transilien;R;Paris Sud Est;83.6;5.1
2017-05;RER;D;RER D;87.028;6.7
2017-05;Transilien;H;Paris Nord Ouest;79.812;4.0
2017-06;RER;A;RER A;69.948;2.3
2017-06;Transilien;H;Paris Nord Ouest;86.436;6.4
2017-06;Transilien;U;La Verrière - La Défense;91.709;11.1
2017-07;Transilien;H;Paris Nord Ouest;93.308;13.9
2017-07;Transilien;R;Paris Sud Est;74.458;2.9
2017-08;RER;D;RER D;91.0;10.1
2017-08;RER;E;RER E;94.5;17.2
2017-08;Transilien;L;Paris Saint-Lazare Sud;92.5;12.3
2017-08;Transilien;R;Paris Sud Est;86.4;6.4
2017-09;RER;A;RER A;72.9;2.7
2017-09;RER;C;RER C;92.3;12.0
2017-09;Transilien;N;Paris Montparnasse;90.7;9.8
2017-09;Transilien;R;Paris Sud Est;80.9;4.2
2017-10;Transilien;H;Paris Nord Ouest;92.5;12.3
2017-10;Transilien;N;Paris Montparnasse;90.4;9.4
2017-11;RER;D;RER D;79.2;3.8
2017-12;RER;B;RER B;84.3;5.4
2017-12;RER;C;RER C;88.7;7.8
2017-12;RER;D;RER D;84.0;5.3
2017-12;Transilien;P;Paris Est;91.5;10.8
2017-12;Transilien;R;Paris Sud Est;85.5;5.9
2018-01;RER;E;RER E;93.6;14.6
2018-01;Transilien;K;Paris Nord Crépy;91.6;10.9
2018-01;Transilien;N;Paris Montparnasse;90.5;9.5
2018-01;Transilien;P;Paris Est;90.8;9.9
2018-01;Transilien;U;La Verrière - La Défense;91.4;10.6
2018-02;RER;B;RER B;79.8;4.0
2018-02;Transilien;L;Paris Saint-Lazare Sud;84.9;5.6
2018-03;RER;B;RER B;86.4;6.4
2018-03;RER;E;RER E;93.0;13.3
2018-03;Transilien;P;Paris Est;91.5;10.8
2018-05;RER;C;RER C;94.1;15.9
2018-06;RER;A;RER A;80.0;4.0
2018-06;RER;C;RER C;88.7;7.8
2018-06;Transilien;J;Paris Saint-Lazare Nord;94.0;15.7
2018-06;Transilien;K;Paris Nord Crépy;94.4;16.9
2018-06;Transilien;U;La Verrière - La Défense;92.4;12.2
2018-07;RER;B;RER B;85.9;6.1
2018-08;RER;C;RER C;92.4;12.2
2018-08;Transilien;K;Paris Nord Crépy;89.0;8.1
2018-08;Transilien;R;Paris Sud Est;84.1;5.3
2018-09;RER;A;RER A;82.2;4.6
2018-09;RER;D;RER D;84.5;5.5
2018-09;RER;E;RER E;94.4;16.9
2018-09;Transilien;P;Paris Est;91.8;11.2
2018-10;RER;A;RER A;80.85;4.2
2018-10;Transilien;N;Paris Montparnasse;90.8;9.9
2018-10;Transilien;P;Paris Est;86.4;6.4
2018-11;RER;A;RER A;83.13;4.9
2018-11;RER;B;RER B;79.03;3.8
2018-12;RER;A;RER A;84.2;5.3
2018-12;RER;E;RER E;93.6;14.6
2018-12;Transilien;K;Paris Nord Crépy;93.0;13.3
2018-12;Transilien;P;Paris Est;87.8;7.2
2019-01;RER;C;RER C;88.1;7.4
2019-01;RER;D;RER D;84.0;5.3
2019-01;Transilien;J;Paris Saint-Lazare Nord;90.0;9.0
2019-01;Transilien;N;Paris Montparnasse;87.1;6.8
2019-02;Transilien;L;Paris Saint-Lazare Sud;95.112;19.5
2019-02;Transilien;P;Paris Est;86.513;6.4
2019-02;Transilien;R;Paris Sud Est;84.265;5.4
2019-02;Transilien;U;La Verrière - La Défense;96.535;27.9
2019-03;RER;B;RER B;89.0;8.1
2019-03;RER;D;RER D;89.507;8.5
2019-03;Transilien;K;Paris Nord Crépy;95.243;20.0
2019-03;Transilien;U;La Verrière - La Défense;95.945;23.7
2019-04;Transilien;U;La Verrière - La Défense;97.068;33.1
2019-05;RER;D;RER D;87.432;7.0
2019-05;Transilien;K;Paris Nord Crépy;92.738;12.8
2019-06;RER;B;RER B;84.57;5.5
2019-06;RER;D;RER D;86.267;6.3
2019-06;Transilien;U;La Verrière - La Défense;94.129;16.0
2019-07;RER;B;RER B;84.912;5.6
2019-07;RER;D;RER D;85.101;5.7
2019-07;Transilien;H;Paris Nord Ouest;93.664;14.8
2019-07;Transilien;N;Paris Montparnasse;92.452;12.2
2019-07;Transilien;R;Paris Sud Est;86.516;6.4
2019-08;RER;C;RER C;93.393;14.1
2019-08;Transilien;L;Paris Saint-Lazare Sud;96.777;30.0
2019-08;Transilien;N;Paris Montparnasse;95.268;20.1
2019-09;RER;D;RER D;86.799;6.6
2019-09;Transilien;J;Paris Saint-Lazare Nord;91.435;10.7
2019-09;Transilien;R;Paris Sud Est;86.238;6.3
2019-10;RER;A;RER A;85.823;6.1
2019-10;RER;C;RER C;82.873;4.8
2019-10;Transilien;N;Paris Montparnasse;87.745;7.2
2019-11;RER;A;RER A;82.055;4.6
2019-11;Transilien;L;Paris Saint-Lazare Sud;91.801;11.2
2020-02;RER;A;RER A;83.008;4.885
2020-02;Transilien;U;La Verrière - La Défense;95.379;20.64
2020-03;RER;B;RER B;73.521;2.777
2020-03;RER;E;RER E;90.362;9.375
2020-03;Transilien;H;Paris Nord Ouest;95.134;19.552
2020-03;Transilien;P;Paris Est;88.686;7.838
2020-06;RER;B;RER B;86.187;6.24
2020-06;RER;C;RER C;85.34;5.821
2020-06;RER;E;RER E;89.21;8.268
2020-07;Transilien;R;Paris Sud Est;90.137;9.139
2020-07;Transilien;U;La Verrière - La Défense;96.83;30.542
2020-08;RER;C;RER C;93.157;13.614
2020-08;Transilien;P;Paris Est;90.729;9.786
2020-08;Transilien;R;Paris Sud Est;92.623;12.555
2020-09;Transilien;N;Paris Montparnasse;93.646;14.737
2020-09;Transilien;U;La Verrière - La Défense;96.659;28.932
2020-10;Transilien;R;Paris Sud Est;87.883;7.253
2021-01;Transilien;L;Paris Saint-Lazare Sud;95.988;23.923
2021-02;RER;C;RER C;86.4;6.353
2021-02;Transilien;H;Paris Nord Ouest;95.113;19.464
2021-02;Transilien;N;Paris Montparnasse;90.186;9.189
2021-02;Transilien;P;Paris Est;89.8;8.804
2021-03;RER;C;RER C;93.572;14.558
2021-03;Transilien;J;Paris Saint-Lazare Nord;93.796;15.12
2021-03;Transilien;K;Paris Nord Crépy;94.88;18.531
2021-03;Transilien;R;Paris Sud Est;89.093;8.168
2021-05;RER;B;RER B;89.953;8.953
2021-05;RER;C;RER C;92.896;13.076
2021-05;RER;D;RER D;90.479;9.503
2021-05;RER;E;RER E;95.751;22.536
2021-05;Transilien;N;Paris Montparnasse;93.919;15.444
2021-06;Transilien;J;Paris Saint-Lazare Nord;90.195;9.199
2021-06;Transilien;K;Paris Nord Crépy;92.56;12.441
2021-07;RER;C;RER C;92.668;12.639
2021-07;RER;D;RER D;88.484;7.684
2021-07;Transilien;U;La Verrière - La Défense;97.489;38.828
2021-08;RER;A;RER A;91.153;10.303
2021-08;RER;E;RER E;95.883;23.292
2021-08;Transilien;H;Paris Nord Ouest;96.92;31.471
2021-08;Transilien;U;La Verrière - La Défense;97.784;44.135
2021-09;RER;B;RER B;81.033;4.272
2021-09;RER;D;RER D;86.687;6.512
2021-09;Transilien;N;Paris Montparnasse;94.706;17.891
2021-10;RER;D;RER D;85.249;5.779
2021-10;RER;E;RER E;94.505;17.199
2021-10;Transilien;R;Paris Sud Est;80.11;4.028
2021-10;Transilien;U;La Verrière - La Défense;93.772;15.055
2021-12;Transilien;U;La Verrière - La Défense;97.179;34.447
2022-01;RER;A;RER A;88.235;7.5
2022-01;Transilien;J;Paris Saint-Lazare Nord;92.519;12.367
2022-01;Transilien;K;Paris Nord Crépy;94.437;16.974
2022-01;Transilien;L;Paris Saint-Lazare Sud;91.375;10.595
2022-01;Transilien;P;Paris Est;90.538;9.569
2022-02;Transilien;J;Paris Saint-Lazare Nord;95.567;21.556
2022-02;Transilien;N;Paris Montparnasse;96.526;27.786
2022-03;Transilien;K;Paris Nord Crépy;96.586;28.291
2022-03;Transilien;L;Paris Saint-Lazare Sud;94.482;17.121
2022-04;RER;C;RER C;90.296;9.305
2022-04;RER;D;RER D;87.165;6.791
2022-05;RER;B;RER B;85.194;5.754
2022-05;Transilien;H;Paris Nord Ouest;96.47;27.332
2022-06;RER;C;RER C;90.859;9.94
2022-06;Transilien;L;Paris Saint-Lazare Sud;89.539;8.56
2022-06;Transilien;N;Paris Montparnasse;94.348;16.693
2022-07;RER;A;RER A;85.937;6.111
2022-08;RER;A;RER A;93.634;14.71
2022-08;RER;E;RER E;93.526;14.447
2022-08;Transilien;K;Paris Nord Crépy;94.515;17.233
2022-09;RER;C;RER C;90.76;9.822
2022-09;Transilien;N;Paris Montparnasse;95.782;22.706
2022-09;Transilien;P;Paris Est;90.146;9.148
2022-10;RER;B;RER B;80.79;4.206
2022-10;RER;C;RER C;90.323;9.333
2022-10;Transilien;H;Paris Nord Ouest;97.205;34.773
2022-10;Transilien;R;Paris Sud Est;90.197;9.201
2022-10;Transilien;U;La Verrière - La Défense;92.341;12.056
2022-11;Transilien;P;Paris Est;89.864;8.866
2022-12;Transilien;J;Paris Saint-Lazare Nord;91.683;11.024
2023-01;RER;B;RER B;80.067;4.017
2023-01;Transilien;H;Paris Nord Ouest;97.571;40.176
2023-02;Transilien;K;Paris Nord Crépy;97.777;43.978
2023-03;RER;B;RER B;87.41;6.943
2023-03;Transilien;U;La Verrière - La Défense;95.987;23.917
2023-04;RER;E;RER E;96.486;27.459
2023-05;RER;D;RER D;86.89;6.628
2023-05;RER;E;RER E;94.953;18.814
2023-05;Transilien;N;Paris Montparnasse;95.595;21.701
2023-05;Transilien;R;Paris Sud Est;90.402;9.419
2023-06;RER;C;RER C;82.372;4.673
2023-06;RER;E;RER E;92.321;12.023
2023-06;Transilien;R;Paris Sud Est;87.487;6.992
2023-07;RER;B;RER B;85.516;5.904
2023-07;Transilien;N;Paris Montparnasse;96.011;24.069
2023-08;RER;A;RER A;92.136;11.717
2023-08;Transilien;N;Paris Montparnasse;96.644;28.794
2023-09;Transilien;J;Paris Saint-Lazare Nord;92.606;12.524
2023-09;Transilien;L;Paris Saint-Lazare Sud;94.692;17.841
2023-10;RER;A;RER A;84.203;5.33
2023-10;RER;E;RER E;93.644;14.732
2023-10;Transilien;H;Paris Nord Ouest;95.904;23.417
2023-10;Transilien;P;Paris Est;85.004;5.669
2023-11;RER;C;RER C;82.083;4.581
2023-11;Transilien;R;Paris Sud Est;88.877;7.99
2023-12;Transilien;N;Paris Montparnasse;90.427;9.446
2023-12;Transilien;P;Paris Est;89.538;8.559
2023-12;Transilien;U;La Verrière - La Défense;92.196;11.813
2024-02;RER;A;RER A;89.425;8.457
2024-02;RER;C;RER C;84.355;5.392
2024-02;Transilien;K;Paris Nord Crépy;96.119;24.769
2024-03;Transilien;H;Paris Nord Ouest;95.817;22.908
2024-03;Transilien;P;Paris Est;93.953;15.536
2024-04;Transilien;L;Paris Saint-Lazare Sud;95.435;20.905
2024-04;Transilien;R;Paris Sud Est;91.099;10.234
2024-05;Transilien;J;Paris Saint-Lazare Nord;92.629;12.567
2024-05;Transilien;L;Paris Saint-Lazare Sud;93.513;14.415
2024-05;Transilien;P;Paris Est;91.403;10.632
2024-05;Transilien;U;La Verrière - La Défense;95.89;23.33
2024-06;Transilien;H;Paris Nord Ouest;97.062;33.042
2024-06;Transilien;K;Paris Nord Crépy;97.237;35.186
2024-06;Transilien;R;Paris Sud Est;89.397;8.431
2024-07;Transilien;J;Paris Saint-Lazare Nord;94.395;16.84
2024-07;Transilien;N;Paris Montparnasse;95.505;21.249
2024-07;Transilien;P;Paris Est;94.094;15.931
2024-08;RER;D;RER D;93.372;14.088
2024-08;Transilien;J;Paris Saint-Lazare Nord;95.914;23.473
2024-08;Transilien;U;La Verrière - La Défense;98.421;62.327
2024-09;Transilien;L;Paris Saint-Lazare Sud;96.944;31.72
2024-09;Transilien;P;Paris Est;92.958;13.201
2024-10;RER;B;RER B;84.17;5.317
2024-10;RER;D;RER D;85.192;5.753
2024-10;Transilien;R;Paris Sud Est;94.403;16.865
2024-11;RER;A;RER A;85.998;6.142
2024-11;Transilien;K;Paris Nord Crépy;94.119;16.003
2024-11;Transilien;P;Paris Est;89.064;8.144
2024-12;RER;B;RER B;80.446;4.114
2025-01;RER;B;RER B;84.103;5.29
2025-01;RER;C;RER C;82.439;4.695
2025-01;RER;E;RER E;87.863;7.239
2025-01;Transilien;H;Paris Nord Ouest;94.705;17.887
2025-01;Transilien;J;Paris Saint-Lazare Nord;92.439;12.226
2025-01;Transilien;K;Paris Nord Crépy;95.984;23.899
2025-02;RER;C;RER C;84.884;5.616
2025-02;Transilien;J;Paris Saint-Lazare Nord;94.647;17.68
2025-02;Transilien;P;Paris Est;87.452;6.969
2025-03;Transilien;K;Paris Nord Crépy;96.716;29.451
2025-03;Transilien;N;Paris Montparnasse;95.586;21.654
2025-04;RER;C;RER C;89.99;8.99
2025-04;Transilien;L;Paris Saint-Lazare Sud;94.817;18.296
2025-05;RER;A;RER A;89.246;8.299
2025-06;Transilien;K;Paris Nord Crépy;91.692;11.037
2025-06;Transilien;P;Paris Est;87.498;6.998
2025-07;RER;C;RER C;88.321;7.562
2025-07;Transilien;H;Paris Nord Ouest;95.044;19.177
2025-07;Transilien;J;Paris Saint-Lazare Nord;91.897;11.341
2025-07;Transilien;N;Paris Montparnasse;95.364;20.568
2025-08;Transilien;R;Paris Sud Est;91.744;11.112
2025-09;RER;A;RER A;92.104;11.665
2025-09;RER;C;RER C;90.414;9.432
2025-10;RER;C;RER C;89.03;8.116
2025-11;Transilien;H;Paris Nord Ouest;94.494;17.16
2025-11;Transilien;K;Paris Nord Crépy;90.939;10.036
2025-11;Transilien;L;Paris Saint-Lazare Sud;91.915;11.369
2025-12;Transilien;K;Paris Nord Crépy;94.366;16.749
2025-12;Transilien;N;Paris Montparnasse;96.397;26.757
2025-12;Transilien;U;La Verrière - La Défense;94.715;17.922
2026-01;Transilien;H;Paris Nord Ouest;93.185;13.673
2026-01;Transilien;N;Paris Montparnasse;90.244;9.25
2026-01;Transilien;P;Paris Est;84.141;5.306
2026-01;Transilien;R;Paris Sud Est;87.497;6.998
2026-02;Transilien;J;Paris Saint-Lazare Nord;92.954;13.191
2026-02;Transilien;L;Paris Saint-Lazare Sud;93.47;14.314
2026-03;RER;A;RER A;93.185;13.674
2026-03;RER;C;RER C;87.83;7.217
2026-03;Transilien;J;Paris Saint-Lazare Nord;94.545;17.332
2026-03;Transilien;K;Paris Nord Crépy;95.773;22.655
2026-03;Transilien;N;Paris Montparnasse;94.128;16.03
2013-01;Transilien;P;Paris Est;85.8;6.0
2013-01;Transilien;U;La Verrière - La Défense;92.3;12.0
2013-02;RER;E;RER E;94.7;17.9
2013-02;Transilien;K;Paris Nord Crépy;75.2;3.0
2013-02;Transilien;U;La Verrière - La Défense;91.7;11.0
2013-03;Transilien;N;Paris Montparnasse;89.1;8.2
2013-04;RER;A;RER A;83.3;5.0
2013-04;Transilien;U;La Verrière - La Défense;90.1;9.1
2013-05;RER;A;RER A;86.4;6.4
2013-06;RER;C;RER C;90.3;9.3
2013-06;RER;E;RER E;93.9;15.4
2013-06;Transilien;H;Paris Nord Ouest;94.1;15.9
2013-06;Transilien;J;Paris Saint-Lazare Nord;83.5;5.1
2013-06;Transilien;K;Paris Nord Crépy;71.9;2.6
2013-07;RER;B;RER B;84.1;5.3
2013-07;Transilien;N;Paris Montparnasse;93.2;13.7
2013-08;RER;A;RER A;88.9;8.0
2013-08;Transilien;L;Paris Saint-Lazare Sud;89.9;8.9
2013-08;Transilien;N;Paris Montparnasse;96.0;24.0
2013-09;Transilien;H;Paris Nord Ouest;95.4;20.7
2013-10;RER;A;RER A;83.1;4.9
2013-10;Transilien;N;Paris Montparnasse;92.6;12.5
2013-10;Transilien;P;Paris Est;87.3;6.9
2013-11;RER;A;RER A;80.9;4.2
2013-11;Transilien;J;Paris Saint-Lazare Nord;80.7;4.2
2013-12;RER;C;RER C;90.9;10.0
2013-12;Transilien;J;Paris Saint-Lazare Nord;84.4;5.4
2014-01;Transilien;H;Paris Nord Ouest;95.9;23.4
2014-02;RER;B;RER B;88.9;8.0
2014-02;RER;E;RER E;95.0;19.0
2014-02;Transilien;H;Paris Nord Ouest;96.1;24.6
2014-02;Transilien;J;Paris Saint-Lazare Nord;85.4;5.8
2014-02;Transilien;K;Paris Nord Crépy;84.4;5.4
2014-02;Transilien;N;Paris Montparnasse;95.1;19.4
2014-02;Transilien;U;La Verrière - La Défense;92.2;11.8
2014-03;Transilien;N;Paris Montparnasse;95.4;20.7
2014-03;Transilien;U;La Verrière - La Défense;94.0;15.7
2014-04;RER;B;RER B;88.5;7.7
2014-04;Transilien;H;Paris Nord Ouest;95.7;22.3
2014-04;Transilien;N;Paris Montparnasse;95.8;22.8
2014-06;RER;B;RER B;;0.0
2014-06;Transilien;N;Paris Montparnasse;94.7;17.9
2014-06;Transilien;U;La Verrière - La Défense;95.5;21.2
2014-07;RER;B;RER B;86.9;6.6
2014-07;RER;C;RER C;83.9;5.2
2014-07;RER;D;RER D;86.6;6.5
2014-07;RER;E;RER E;92.5;12.3
2014-07;Transilien;L;Paris Saint-Lazare Sud;85.5;5.9
2014-08;Transilien;R;Paris Sud Est;93.2;13.7
2014-09;RER;C;RER C;92.9;13.1
2014-10;RER;C;RER C;84.1;5.3
2014-10;Transilien;N;Paris Montparnasse;91.0;10.1
2014-10;Transilien;U;La Verrière - La Défense;93.6;14.6
2014-11;RER;B;RER B;86.1;6.2
2014-11;RER;E;RER E;95.665;22.1
2014-11;Transilien;R;Paris Sud Est;84.876;5.6
2014-12;RER;A;RER A;67.3;2.1
2014-12;Transilien;H;Paris Nord Ouest;94.1;15.9
2015-01;RER;C;RER C;91.403;10.6
2015-01;Transilien;U;La Verrière - La Défense;94.673;17.8
2015-02;RER;D;RER D;87.642;7.1
2015-02;RER;E;RER E;94.074;15.9
2015-02;Transilien;L;Paris Saint-Lazare Sud;81.819;4.5
2015-02;Transilien;P;Paris Est;92.771;12.8
2015-02;Transilien;U;La Verrière - La Défense;91.446;10.7
2015-03;Transilien;H;Paris Nord Ouest;96.064;24.4
2015-03;Transilien;R;Paris Sud Est;90.349;9.4
2015-04;RER;A;RER A;71.977;2.6
2015-04;RER;C;RER C;89.282;8.3
2015-04;Transilien;H;Paris Nord Ouest;95.079;19.3
2015-04;Transilien;N;Paris Montparnasse;93.906;15.4
2015-04;Transilien;R;Paris Sud Est;86.115;6.2
2015-05;RER;A;RER A;71.217;2.5
2015-05;Transilien;H;Paris Nord Ouest;95.938;23.6
2015-05;Transilien;K;Paris Nord Crépy;91.384;10.6
2015-06;Transilien;J;Paris Saint-Lazare Nord;88.972;8.1
2015-06;Transilien;K;Paris Nord Crépy;90.043;9.0
2015-08;RER;C;RER C;93.1;13.5
2015-08;Transilien;J;Paris Saint-Lazare Nord;90.0;9.0
2015-08;Transilien;P;Paris Est;90.8;9.9
2015-09;Transilien;R;Paris Sud Est;89.617;8.6
2015-09;Transilien;U;La Verrière - La Défense;92.786;12.9
2015-10;Transilien;J;Paris Saint-Lazare Nord;87.99;7.3
2015-10;Transilien;K;Paris Nord Crépy;90.205;9.2
2015-10;Transilien;N;Paris Montparnasse;87.447;7.0
2015-10;Transilien;P;Paris Est;90.725;9.8
2015-10;Transilien;U;La Verrière - La Défense;91.457;10.7
2015-11;RER;E;RER E;92.9;13.1
2015-11;Transilien;N;Paris Montparnasse;88.5;7.7
2016-01;RER;B;RER B;85.5;5.9
2016-01;RER;E;RER E;95.1;19.4
2016-01;Transilien;L;Paris Saint-Lazare Sud;89.0;8.1
2016-02;RER;B;RER B;86.9;6.6
2016-02;RER;C;RER C;88.5;7.7
2016-02;Transilien;H;Paris Nord Ouest;95.1;19.4
2016-03;RER;D;RER D;84.3;5.4
2016-03;Transilien;J;Paris Saint-Lazare Nord;91.1;10.2
2016-04;RER;E;RER E;93.7;14.9
2016-04;Transilien;L;Paris Saint-Lazare Sud;89.4;8.4
2016-04;Transilien;N;Paris Montparnasse;94.3;16.5
2016-04;Transilien;R;Paris Sud Est;90.1;9.1
2016-04;Transilien;U;La Verrière - La Défense;95.8;22.8
2016-05;RER;B;RER B;86.0;6.1
2016-05;Transilien;R;Paris Sud Est;81.1;4.3
2016-06;Transilien;J;Paris Saint-Lazare Nord;90.5;9.5
2016-06;Transilien;R;Paris Sud Est;84.5;5.5
2016-07;RER;D;RER D;85.8;6.0
